id	pulses	steps	description
0	2	5	thirteenth century Persian rhythm called Khafif-e-ramal
1	3	4	"Archetypal pattern of the Cumbia from Colombia, as well as a Calypso rhythm from Trinidad. It is also a thirteenth century Persian rhythm called Khalif-e-saghil, as well as the trochoid choreic rhythmic pattern of ancient Greece"
2	3	5	"When started on the second onset, is another thirteenth century Persian rhythm by the name of Khafif-e-ramal, as well as a Rumanian folk-dance rhythm"
3	3	7	a Ruchenitza rhythm used in a Bulgarian folk-dance. It is also the metric pattern of Pink Floyd’s Money
4	3	8	the Cuban tresillo pattern
5	4	7	a Ruchenitza Bulgarian folk-dance rhythm
6	4	9	the Aksak rhythm of Turkey. It is also the metric pattern used by Dave Brubeck in his piece Rondo a la Turk
7	4	11	the metric pattern used by Frank Zappa in his piece titled Outside Now
8	5	6	"yields the York-Samai pattern, a popular Arab rhythm, when started on the second onset"
9	5	7	"the Nawakhat pattern, a popular Arab rhythm"
10	5	8	"the Cuban cinquillo pattern. When it is started on the second onset it is also the Spanish Tango and a thirteenth century Persian rhythm, the Al-saghil-al-sani"
11	5	9	"a popular Arab rhythm called Agsag-Samai. When started on the second onset, it is a drum pattern used by the Venda in South Africa, as well as a Rumanian folk-dance rhythm"
12	5	11	the metric pattern used by Moussorgsky in Pictures at an Exhibition
13	5	12	the Venda clapping pattern of a South African children’s song
14	5	16	"the Bossa-Nova rhythm necklace of Brazil. The actual Bossa-Nova rhythm usually starts on the third onset. However, there are other starting places as well"
15	7	8	"a typical rhythm played on the Bendir (frame drum), and used in the accompaniment of songs of the Tuareg people of Libya"
16	7	12	"a common West African bell pattern. For example, it is used in the Mpre rhythm of the Ashanti people of Ghana"
17	7	16	"a Samba rhythm necklace from Brazil. The actual Samba rhythm is obtained by starting E(7,16) on the last onset. When E(7,16) is started on the fifth onset it is a clapping pattern from Ghana"
18	9	16	" a rhythm necklace used in the Central African Republic. When it is started on the fourth onset it is a rhythm played in West and Central Africa, as well as a cow-bell pattern in the Brazilian samba. When it is started on the penultimate onset it is the bell pattern of the Ngbaka-Maibo rhythms of the Central African Republic "
